Company Name
JPMorganChase
Berkshire Hathaway
Bank of America
Amazon
Microsoft
Alphabet
Apple
ExxonMobil
Wells Fargo
UnitedHealth Group
Walmart
Chevron
Goldman Sachs Group
Meta Platforms
Morgan Stanley
Citigroup
Verizon Communications
AT&T
Comcast
Johnson & Johnson
American Express
Tesla
Procter & Gamble
CVS Health
General Motors
Broadcom
PepsiCo
The Home Depot
Oracle
Elevance Health
IBM
AbbVie
Cisco Systems
Cigna
Costco Wholesale
Coca-Cola
GE Aerospace
Caterpillar
John Deere
Intel
ConocoPhillips
NVIDIA
RTX
US Bancorp
Ford Motor
Capital One
Apollo Global Management
Visa
American International Group
Thermo Fisher Scientific
Charles Schwab
Progressive
Marathon Petroleum
PNC Financial Services
United Parcel Service
NextEra Energy
Walt Disney
Phillips 66
MetLife
Salesforce
Merck & Co.
Abbott Laboratories
Dell Technologies
FedEx
Lockheed Martin
Eli Lilly
KKR
Philip Morris International
Valero Energy
Bank of New York Mellon
Prudential Financial
Lowe's
Charter Communications
Honeywell International
McKesson
Duke Energy
Qualcomm
HCA Healthcare
Amgen
Southern Company
Danaher
Mondelez International
Target
BlackRock
Netflix
Travelers
Union Pacific
McDonald's
Centene
PayPal
Mastercard
Delta Air Lines
General Dynamics
Nike
Aflac
Occidental Petroleum
Fiserv
Cencora
SLB
TJX Cos
Automatic Data Processing
Kraft Heinz Company
EOG Resources
Applied Materials
Archer Daniels Midland
Marsh McLennan
Paccar
PG&E
Allstate
Kroger
Humana
Ameriprise Financial
American Electric
Northrop Grumman
Starbucks
Altria Group
Exelon
D.R. Horton
Discover Financial Services
Lennar
Stryker
Texas Instruments
Constellation Energy
Advanced Micro Devices
Hartford Financial Services
Adobe
Uber
Freeport-McMoRan
Fannie Mae
Nucor
Booking Holdings
Corebridge Financial
United Airlines Holdings
HP
S&P Global
Freddie Mac
Sempra
State Street
First Citizens Bank (NC)
Dow
IntercontinentalExchange
Kinder Morgan
Waste Management
Cheniere Energy
CSX
Dominion Energy
M&T Bank
Synchrony Financial
Fifth Third Bank
Becton Dickinson
Prologis
Oneok
Analog Devices
Parker-Hannifin
American Tower
Hewlett Packard Enterprise
Marriott International
Regeneron Pharmaceuticals
Intuit
Sysco
Cummins
Pfizer
Keurig Dr Pepper
Carrier Global
Boeing
Sherwin-Williams
Dollar General
Baker Hughes Company
Boston Scientific
General Mills
Consolidated Edison
Principal Financial Group
Williams
Xcel Energy
Raymond James Financial
Blackstone
Truist Financial
L3Harris Technologies
Air Products & Chemicals
Republic Services
Halliburton
Bristol Myers Squibb
Markel
Huntington Bank
CME Group
Edison International
GE HealthCare Technologies
Royal Caribbean Group
AirBnB
United Rentals
Loews
Entergy
Lam Research
Vertex Pharmaceuticals
Citizens Financial Group
Norfolk Southern
Colgate-Palmolive
Devon Energy
Gilead Sciences
Gallagher
Public Service Enterprise Group
Cardinal Health
Regions Financial
Bunge
Equitable Holdings
Kenvue
Coinbase
Ecolab
AutoZone
Illinois Tool Works
Northern Trust
Reinsurance Group of America
IQVIA
Hess
Kimberly-Clark
Cognizant
3M
NRG Energy
CBRE Group
Micron Technology
Diamondback Energy
DTE Energy
Albertsons
Ally Financial
FirstEnergy
PPG
Tenet Healthcare
Ross Stores
Global Payments
Amphenol
Warner Bros. Discovery
O'Reilly Automotive
Constellation Brands
GE Vernova
Walgreens Boots Alliance
Vistra Energy
W. R. Berkley
Corteva
Lincoln National
WEC Energy Group
Coupang
ServiceNow
Cincinnati Financial
KeyCorp
Block
PulteGroup
Omnicom Group
WW Grainger
Equinix
KLA
Crown Castle International
Las Vegas Sands
VICI Properties
Simon Property Group
Genuine Parts
Fidelity National Financial
eBay
Emerson Electric
Palo Alto Networks
Steel Dynamics
Targa Resources
Roper Technologies
MGM Resorts
Molina Healthcare
Jabil Circuit
Biogen
The Estée Lauder Companies
Celanese
TransDigm Group
Newmont
Tyson Foods
Zoetis
Best Buy
Intuitive Surgical
Unum Group
The Hershey Company
Otis Worldwide
Digital Realty Trust
Quanta Services
CDW
Realty Income
Fox
HF Sinclair
American Airlines Group
Carnival Corporation
Hilton Worldwide Holdings
Chipotle Mexican Grill
Ameren
CenterPoint Energy
Cintas
Microchip Technology
Motorola Solutions
TD SYNNEX
Builders FirstSource
Corning
Super Micro Computer
Tractor Supply
Flex
Southwest Airlines
PPL
Workday
Public Storage
Interactive Brokers Group
Jackson Financial
NASDAQ
Arista Networks
Westinghouse Air Brake Technologies
Monster Beverage
Dollar Tree
ON Semiconductor Corp.
Ovintiv
Expedia Group
Fidelity National Information (FIS)
CMS Energy
